ID,Code,Salary,Occupacy,Ages,Weight,Size,Feet_size,Performance
0,56*****,Medium,Y,<17,73.9,140.9,39,1
1,12*****,High,Y,<17,22.1,139.5,42,1
2,34*****,Medium,Y,17+,46.5,184.8,38,0
3,67*****,Low,N,<17,46.2,150.4,34,0
4,23*****,Medium,Y,<17,29.8,170.6,36,0
5,12*****,Medium,Y,<17,72.8,111.9,36,0
6,23*****,High,Y,<17,46.4,108.5,39,0
7,23*****,High,Y,17+,72.7,149.9,34,0
8,34*****,Low,N,<17,36.5,199.6,36,0
9,56*****,High,Y,<17,60.4,167.9,42,0
10,12*****,Medium,Y,<17,53.3,132.0,37,0
11,56*****,Low,N,<17,79.4,183.3,36,0
12,45*****,High,Y,<17,26.6,108.0,37,0
13,12*****,High,Y,<17,20.7,128.1,36,1
14,56*****,Medium,Y,<17,36.7,161.7,39,1
15,23*****,High,Y,<17,24.2,110.5,38,1
16,56*****,High,Y,<17,26.2,186.0,39,1
17,34*****,Medium,Y,17+,42.6,164.1,40,1
18,23*****,High,Y,17+,76.8,108.7,41,1
19,34*****,High,Y,17+,79.0,113.2,35,0
20,45*****,Low,N,17+,62.7,105.2,39,0
21,56*****,High,Y,17+,25.1,179.7,38,0
22,67*****,High,Y,17+,51.1,150.8,37,0
23,45*****,Low,N,<17,70.6,128.9,42,0
24,45*****,Medium,Y,<17,31.4,163.1,39,1
25,34*****,Low,N,17+,72.9,188.2,37,0
26,23*****,High,Y,<17,42.6,153.1,39,0
27,34*****,High,Y,<17,28.8,172.2,37,0
28,45*****,Medium,Y,17+,56.8,154.2,36,1
29,12*****,Low,N,17+,53.7,189.3,35,0
30,34*****,Medium,Y,17+,28.8,148.3,42,1
31,45*****,Medium,Y,17+,72.5,105.7,40,0
32,12*****,High,Y,17+,46.5,167.2,39,1
33,56*****,High,Y,17+,64.8,173.1,39,0
34,12*****,High,Y,17+,32.2,155.5,37,0
35,34*****,Medium,Y,<17,33.6,176.4,41,0
36,12*****,High,Y,<17,62.6,134.1,37,0
37,34*****,Medium,Y,,39.8,156.4,41,1
38,12*****,High,Y,<17,47.5,199.2,35,0
39,45*****,High,Y,<17,68.7,125.3,41,0
40,56*****,High,Y,<17,74.9,112.4,37,1
41,12*****,Medium,Y,<17,78.4,150.9,41,0
42,56*****,High,Y,<17,28.2,112.0,42,1
43,12*****,Low,N,<17,23.0,131.7,35,0
44,56*****,Low,N,17+,22.6,129.3,38,0
45,12*****,Medium,Y,17+,53.8,157.8,39,1
46,56*****,Low,N,17+,39.4,104.7,39,1
47,45*****,Low,N,17+,57.5,162.3,37,1
48,34*****,Low,N,17+,32.9,193.7,35,1
49,34*****,High,Y,<17,61.3,133.6,42,0
50,12*****,High,Y,17+,26.7,164.9,40,1
51,34*****,Medium,Y,17+,70.5,175.6,36,1
52,23*****,Low,N,,77.3,183.9,36,1
53,12*****,High,Y,<17,65.4,135.2,40,1
54,45*****,High,Y,<17,52.5,126.5,35,0
55,34*****,Medium,Y,<17,54.2,138.9,39,1
56,12*****,Low,N,<17,38.5,157.2,40,1
57,56*****,Medium,Y,17+,77.2,170.7,34,0
58,12*****,High,Y,17+,52.7,120.5,35,0
59,45*****,Low,N,<17,66.4,156.1,39,1
60,67*****,High,Y,<17,59.8,198.4,38,1
61,67*****,High,Y,<17,78.1,143.0,41,1
62,23*****,Medium,Y,<17,69.1,150.2,35,1
63,12*****,Low,N,<17,46.9,194.8,41,0
64,45*****,Medium,Y,17+,68.0,151.0,36,0
65,67*****,Medium,Y,17+,75.1,117.0,36,0
66,45*****,High,Y,<17,43.7,104.3,42,1
67,34*****,High,Y,17+,30.1,145.2,38,1
68,56*****,Low,N,17+,47.8,173.6,39,1
69,56*****,High,Y,17+,68.6,188.9,40,0
70,34*****,High,Y,17+,26.5,130.0,37,1
71,56*****,High,Y,17+,78.7,190.3,37,1
72,45*****,Medium,Y,<17,76.3,103.0,40,1
73,23*****,Medium,Y,17+,77.2,111.6,36,0
74,23*****,High,Y,<17,78.5,182.4,34,1
75,56*****,High,Y,17+,26.4,143.6,37,1
76,23*****,Medium,Y,<17,45.8,120.5,34,1
